indexed 824 sources under D:\Data: solexs/zip 824
cache: 824 sources, 0 up to date, 824 to process with 3 worker(s)
  [10/824] AL1_SLX_L1_20240210_v1.0.zip   (50 files/min, ~16 min left)
  [20/824] AL1_SLX_L1_20240220_v1.0.zip   (63 files/min, ~13 min left)
  [30/824] AL1_SLX_L1_20240301_v1.0.zip   (69 files/min, ~11 min left)
  [40/824] AL1_SLX_L1_20240311_v1.0.zip   (68 files/min, ~11 min left)
  [50/824] AL1_SLX_L1_20240320_v1.0.zip   (71 files/min, ~11 min left)
  [60/824] AL1_SLX_L1_20240403_v1.0.zip   (71 files/min, ~11 min left)
  [70/824] AL1_SLX_L1_20240413_v1.0.zip   (70 files/min, ~11 min left)
  [80/824] AL1_SLX_L1_20240423_v1.0.zip   (72 files/min, ~10 min left)
  [90/824] AL1_SLX_L1_20240503_v1.0.zip   (73 files/min, ~10 min left)
  [100/824] AL1_SLX_L1_20240513_v1.0.zip   (72 files/min, ~10 min left)
  [110/824] AL1_SLX_L1_20240523_v1.0.zip   (73 files/min, ~10 min left)
  [120/824] AL1_SLX_L1_20240703_v1.1.zip   (73 files/min, ~10 min left)
  [130/824] AL1_SLX_L1_20240713_v1.1.zip   (73 files/min, ~10 min left)
  [140/824] AL1_SLX_L1_20240723_v1.1.zip   (73 files/min, ~9 min left)
  [150/824] AL1_SLX_L1_20240802_v1.1.zip   (73 files/min, ~9 min left)
  [160/824] AL1_SLX_L1_20240812_v1.1.zip   (73 files/min, ~9 min left)
  [170/824] AL1_SLX_L1_20240822_v1.1.zip   (73 files/min, ~9 min left)
  [180/824] AL1_SLX_L1_20240902_v1.1.zip   (73 files/min, ~9 min left)
  [190/824] AL1_SLX_L1_20240913_v1.1.zip   (73 files/min, ~9 min left)
  [200/824] AL1_SLX_L1_20240923_v1.1.zip   (72 files/min, ~9 min left)
  [210/824] AL1_SLX_L1_20241004_v1.0.zip   (72 files/min, ~8 min left)
  [220/824] AL1_SLX_L1_20241015_v1.0.zip   (71 files/min, ~8 min left)
  [230/824] AL1_SLX_L1_20241025_v1.1.zip   (71 files/min, ~8 min left)
  [240/824] AL1_SLX_L1_20241104_v1.0.zip   (71 files/min, ~8 min left)
  [250/824] AL1_SLX_L1_20241115_v1.0.zip   (70 files/min, ~8 min left)
  [260/824] AL1_SLX_L1_20241125_v1.0.zip   (70 files/min, ~8 min left)
  [270/824] AL1_SLX_L1_20241205_v1.0.zip   (70 files/min, ~8 min left)
  [280/824] AL1_SLX_L1_20241215_v1.0.zip   (71 files/min, ~8 min left)
  [290/824] AL1_SLX_L1_20241229_v1.0.zip   (71 files/min, ~8 min left)
  [300/824] AL1_SLX_L1_20250108_v1.0.zip   (71 files/min, ~7 min left)
  [310/824] AL1_SLX_L1_20250120_v1.0.zip   (71 files/min, ~7 min left)
  [320/824] AL1_SLX_L1_20250208_v1.0.zip   (71 files/min, ~7 min left)
  [330/824] AL1_SLX_L1_20250218_v1.0.zip   (72 files/min, ~7 min left)
  [340/824] AL1_SLX_L1_20250228_v1.0.zip   (72 files/min, ~7 min left)
  [350/824] AL1_SLX_L1_20250312_v1.0.zip   (72 files/min, ~7 min left)
  [360/824] AL1_SLX_L1_20250325_v1.0.zip   (72 files/min, ~6 min left)
  [370/824] AL1_SLX_L1_20250404_v1.0.zip   (72 files/min, ~6 min left)
  [380/824] AL1_SLX_L1_20250417_v1.0.zip   (72 files/min, ~6 min left)
  [390/824] AL1_SLX_L1_20250427_v1.0.zip   (73 files/min, ~6 min left)
  [400/824] AL1_SLX_L1_20250514_v1.0.zip   (73 files/min, ~6 min left)
  [410/824] AL1_SLX_L1_20250528_v1.0.zip   (73 files/min, ~6 min left)
  [420/824] AL1_SLX_L1_20250608_v1.0.zip   (74 files/min, ~5 min left)
  [430/824] AL1_SLX_L1_20250620_v1.0.zip   (74 files/min, ~5 min left)
  [440/824] AL1_SLX_L1_20250704_v1.0.zip   (74 files/min, ~5 min left)
  [450/824] AL1_SLX_L1_20250728_v1.0.zip   (74 files/min, ~5 min left)
  [460/824] AL1_SLX_L1_20250808_v1.0.zip   (74 files/min, ~5 min left)
  [470/824] AL1_SLX_L1_20250820_v1.0.zip   (75 files/min, ~5 min left)
  [480/824] AL1_SLX_L1_20250902_v1.0.zip   (75 files/min, ~5 min left)
  [490/824] AL1_SLX_L1_20250912_v1.0.zip   (75 files/min, ~4 min left)
  [500/824] AL1_SLX_L1_20250930_v1.0.zip   (76 files/min, ~4 min left)
  [510/824] AL1_SLX_L1_20251010_v1.0.zip   (76 files/min, ~4 min left)
  [520/824] AL1_SLX_L1_20251021_v1.0.zip   (76 files/min, ~4 min left)
  [530/824] AL1_SLX_L1_20251103_v1.0.zip   (76 files/min, ~4 min left)
  [540/824] AL1_SLX_L1_20251114_v1.0.zip   (76 files/min, ~4 min left)
  [550/824] AL1_SLX_L1_20251125_v1.0.zip   (76 files/min, ~4 min left)
  [560/824] AL1_SLX_L1_20251205_v1.0.zip   (77 files/min, ~3 min left)
  [570/824] AL1_SLX_L1_20251215_v1.0.zip   (77 files/min, ~3 min left)
  [580/824] AL1_SLX_L1_20251225_v1.0.zip   (77 files/min, ~3 min left)
  [590/824] AL1_SLX_L1_20260106_v1.0.zip   (77 files/min, ~3 min left)
  [600/824] AL1_SLX_L1_20260116_v1.0.zip   (77 files/min, ~3 min left)
  [610/824] AL1_SLX_L1_20260126_v1.0.zip   (77 files/min, ~3 min left)
  [620/824] AL1_SLX_L1_20260205_v1.0.zip   (77 files/min, ~3 min left)
  [630/824] AL1_SLX_L1_20260216_v1.0.zip   (78 files/min, ~3 min left)
  [640/824] AL1_SLX_L1_20260228_v1.0.zip   (78 files/min, ~2 min left)
  [650/824] AL1_SLX_L1_20260310_v1.0.zip   (78 files/min, ~2 min left)
  [660/824] AL1_SLX_L1_20260320_v1.0.zip   (78 files/min, ~2 min left)
  [670/824] AL1_SLX_L1_20260330_v1.0.zip   (78 files/min, ~2 min left)
  [680/824] AL1_SLX_L1_20260409_v1.0.zip   (78 files/min, ~2 min left)
  [690/824] AL1_SLX_L1_20260421_v1.0.zip   (78 files/min, ~2 min left)
  [700/824] AL1_SLX_L1_20260503_v1.0.zip   (79 files/min, ~2 min left)
  [710/824] AL1_SLX_L1_20260513_v1.0.zip   (79 files/min, ~1 min left)
  [720/824] AL1_SLX_L1_20260524_v1.0.zip   (79 files/min, ~1 min left)
  [730/824] AL1_SLX_L1_20260603_v1.0.zip   (79 files/min, ~1 min left)
  [740/824] AL1_SLX_L1_20260615_v1.0.zip   (79 files/min, ~1 min left)
  [750/824] AL1_SLX_L1_20260625_v1.0.zip   (79 files/min, ~1 min left)
  [760/824] AL1_SLX_L1_20260705_v1.0.zip   (79 files/min, ~1 min left)
  [770/824] AL1_SLX_L1_20260716_v1.0.zip   (79 files/min, ~1 min left)
  [780/824] AL1_SLX_L1_20260725_v1.0.zip   (79 files/min, ~1 min left)
  [790/824] AL1_SLX_L1_20260804_v1.0.zip   (79 files/min, ~0 min left)
  [800/824] AL1_SLX_L1_20260818_v1.0.zip   (79 files/min, ~0 min left)
  [810/824] AL1_SLX_L1_20260829_v1.0.zip   (80 files/min, ~0 min left)
  [820/824] AL1_SLX_L1_20260908_v1.0.zip   (80 files/min, ~0 min left)
  [824/824] AL1_SLX_L1_20260912_v1.0.zip   (80 files/min, ~0 min left)
cache: 824 ok, 0 empty, 0 failed (620s this run)
SoLEXS days cached per month: 2024-02:29 2024-03:28 2024-04:30 2024-05:31 2024-07:30 2024-08:30 2024-09:28 2024-10:30 2024-11:29 2024-12:27 2025-01:25 2025-02:23 2025-03:26 2025-04:25 2025-05:22 2025-06:25 2025-07:15 2025-08:25 2025-09:22 2025-10:27 2025-11:28 2025-12:29 2026-01:31 2026-02:25 2026-03:31 2026-04:26 2026-05:30 2026-06:28 2026-07:31 2026-08:26 2026-09:12
