id,czt_peak_utc,goes_class,class_solexs,czt_20_40_peak_cps,max_energy_keV,test_period,product,detectors,am241_keV,peak_interval_utc,status,gamma,gamma_err,gamma_err_scaled,fit_e_hi_keV,net_counts,chi2_dof,delta_thick_target,flux_35keV_cts_s_keV,gamma_czt1,gamma_czt1_err,gamma_czt2,gamma_czt2_err,gamma_from_25keV
AL1-20240414-0136,2024-04-14 01:37:40,,C1.8,117.0,40,0,HLS_20240414_000005_43180sec_lev1_V112,CZT1+CZT2,59.08,2024-04-14 01:37:04,"ok, unreliable",2.342,0.552,0.837,63.3,113,6.9/3,3.342,0.368,,,1.238,0.249,3.288
AL1-20240414-0226,2024-04-14 02:31:20,M4.2,M4.6,886.2,80,0,HLS_20240414_000005_43180sec_lev1_V112,CZT1+CZT2,58.93,2024-04-14 02:31:27,ok,3.013,0.022,0.056,150.0,16211,60.1/9,4.013,46.999,2.99,0.051,,,3.048
AL1-20240529-0051,2024-05-29 00:48:00,M1.2,M1.2,129.9,40,0,HLS_20240529_000007_5127sec_lev1_V111,CZT1+CZT2,59.4,2024-05-29 00:46:29,too few counts above 30 keV,,,,,,,,,,,,,
AL1-20240529-1344,2024-05-29 14:23:20,X1.4,X1.3,888.6,80,0,HLS_20240529_122053_13172sec_lev1_V111,CZT1+CZT2,58.68,2024-05-29 14:23:15,ok,5.278,0.066,0.099,84.3,6597,11.4/5,6.278,29.584,5.2,0.073,,,5.299
AL1-20240529-1837,2024-05-29 18:36:00,M5.6,M4.8,308.7,80,0,HLS_20240529_160029_28764sec_lev1_V111,CZT1+CZT2,58.86,2024-05-29 18:35:46,ok,3.199,0.024,0.074,150.0,15337,86.0/9,4.199,46.954,3.176,0.065,,,3.157
AL1-20240531-1109,2024-05-31 11:13:20,M1.0,M1.0,153.9,40,0,HLS_20240531_000007_43185sec_lev1_V111,CZT1+CZT2,59.67,2024-05-31 11:14:44,"ok, unreliable",6.194,0.706,0.706,47.4,233,0.3/1,7.194,1.245,,,5.157,0.677,7.027
AL1-20240531-1315,2024-05-31 13:18:40,,,105.5,40,0,HLS_20240531_120007_43188sec_lev1_V111,CZT1+CZT2,59.35,2024-05-31 13:18:35,too few counts above 30 keV,,,,,,,,,,,,,
AL1-20240531-2152,2024-05-31 22:01:20,X1.1,X1.1,2534.1,60,0,HLS_20240531_120007_43188sec_lev1_V111,CZT1+CZT2,59.28,2024-05-31 22:01:24,ok,4.41,0.028,0.088,150.0,18234,87.3/9,5.41,72.151,4.339,0.083,,,4.803
AL1-20240601-0440,2024-06-01 04:41:40,,,49.9,40,0,HLS_20240601_000011_43180sec_lev1_V111,CZT1+CZT2,59.31,2024-06-01 04:43:16,"ok, unreliable",0.846,0.347,0.347,84.3,160,2.1/5,1.846,0.268,0.639,0.163,,,1.736
AL1-20240601-0606,2024-06-01 06:05:40,,,87.8,40,0,HLS_20240601_000011_43180sec_lev1_V111,CZT1+CZT2,59.36,2024-06-01 06:06:48,too few counts above 30 keV,,,,,,,,,,,,,
