id,t_mid_utc,t_rel_s,dt_s,gamma,gamma_err,flux_35keV_cts_s_keV,gamma_czt1,rate_czt2_30_100
AL1-20240414-0136,2024-04-14 01:36:00,-100.0,160.0,2.146,0.285,0.08,,
AL1-20240414-0136,2024-04-14 01:37:40,0.0,40.0,1.958,0.217,0.278,,
AL1-20240414-0136,2024-04-14 01:38:32,52.0,64.0,0.854,0.216,0.111,,
AL1-20240414-0136,2024-04-14 01:39:36,116.0,64.0,0.569,0.222,0.097,,
AL1-20240414-0226,2024-04-14 02:29:34,-106.0,148.0,1.805,0.387,0.072,0.997,-5.21
AL1-20240414-0226,2024-04-14 02:30:52,-28.0,8.0,4.276,0.257,2.68,3.74,-5.21
AL1-20240414-0226,2024-04-14 02:30:58,-22.0,4.0,3.149,0.1,15.934,3.104,-5.21
AL1-20240414-0226,2024-04-14 02:31:02,-18.0,4.0,3.108,0.089,19.682,3.073,-5.21
AL1-20240414-0226,2024-04-14 02:31:06,-14.0,4.0,3.626,0.125,13.173,3.551,-5.21
AL1-20240414-0226,2024-04-14 02:31:10,-10.0,4.0,3.57,0.124,13.007,3.493,-5.21
AL1-20240414-0226,2024-04-14 02:31:14,-6.0,4.0,4.476,0.176,10.326,4.309,-5.21
AL1-20240414-0226,2024-04-14 02:31:18,-2.0,4.0,4.011,0.129,14.94,3.914,-5.21
AL1-20240414-0226,2024-04-14 02:31:22,2.0,4.0,3.937,0.119,16.855,3.852,-5.21
AL1-20240414-0226,2024-04-14 02:31:26,6.0,4.0,3.069,0.063,38.784,3.051,-5.21
AL1-20240414-0226,2024-04-14 02:31:30,10.0,4.0,2.792,0.053,47.608,2.78,-5.21
AL1-20240414-0226,2024-04-14 02:31:34,14.0,4.0,2.932,0.057,44.378,2.917,-5.21
AL1-20240414-0226,2024-04-14 02:31:38,18.0,4.0,2.964,0.054,49.167,2.951,-5.21
AL1-20240414-0226,2024-04-14 02:31:42,22.0,4.0,2.883,0.059,39.613,2.867,-5.21
AL1-20240414-0226,2024-04-14 02:31:46,26.0,4.0,3.152,0.073,29.631,3.125,-5.21
AL1-20240414-0226,2024-04-14 02:31:50,30.0,4.0,2.772,0.084,18.654,2.744,-5.21
AL1-20240414-0226,2024-04-14 02:31:54,34.0,4.0,3.131,0.095,17.643,3.089,-5.21
AL1-20240414-0226,2024-04-14 02:31:58,38.0,4.0,3.432,0.122,12.537,3.355,-5.21
AL1-20240414-0226,2024-04-14 02:32:02,42.0,4.0,3.884,0.207,5.989,3.65,-5.21
AL1-20240414-0226,2024-04-14 02:32:06,46.0,4.0,4.174,0.274,4.27,3.793,-5.21
AL1-20240414-0226,2024-04-14 02:32:11,51.0,6.0,4.815,0.297,3.426,4.244,-5.21
AL1-20240414-0226,2024-04-14 02:32:19,59.0,10.0,4.277,0.309,1.808,3.448,-5.21
AL1-20240414-0226,2024-04-14 02:32:41,81.0,34.0,4.187,0.46,0.468,2.302,-5.21
AL1-20240529-1344,2024-05-29 14:20:30,-170.0,20.0,10.195,0.885,1.252,7.07,-7.73
AL1-20240529-1344,2024-05-29 14:20:50,-150.0,20.0,10.065,0.747,1.434,7.811,-7.73
AL1-20240529-1344,2024-05-29 14:21:06,-134.0,12.0,9.656,0.735,2.088,7.697,-7.73
AL1-20240529-1344,2024-05-29 14:21:15,-125.0,6.0,7.274,0.417,4.672,6.632,-7.73
AL1-20240529-1344,2024-05-29 14:21:21,-119.0,6.0,7.729,0.547,4.082,6.495,-7.73
AL1-20240529-1344,2024-05-29 14:21:28,-112.0,8.0,8.347,0.593,2.769,7.207,-7.73
AL1-20240529-1344,2024-05-29 14:21:34,-106.0,4.0,7.623,0.493,6.019,6.874,-7.73
AL1-20240529-1344,2024-05-29 14:21:39,-101.0,6.0,7.017,0.416,4.954,6.172,-7.73
AL1-20240529-1344,2024-05-29 14:21:44,-96.0,4.0,6.429,0.388,5.783,5.96,-7.73
AL1-20240529-1344,2024-05-29 14:21:48,-92.0,4.0,6.671,0.446,5.436,5.998,-7.73
AL1-20240529-1344,2024-05-29 14:21:52,-88.0,4.0,7.236,0.409,7.449,6.618,-7.73
AL1-20240529-1344,2024-05-29 14:21:56,-84.0,4.0,7.65,0.474,6.858,6.845,-7.73
AL1-20240529-1344,2024-05-29 14:22:01,-79.0,6.0,8.55,0.481,5.358,7.751,-7.73
AL1-20240529-1344,2024-05-29 14:22:07,-73.0,6.0,8.059,0.531,4.057,7.155,-7.73
AL1-20240529-1344,2024-05-29 14:22:14,-66.0,8.0,8.875,0.659,2.963,7.304,-7.73
AL1-20240529-1344,2024-05-29 14:22:23,-57.0,10.0,10.169,0.783,2.439,8.196,-7.73
AL1-20240529-1344,2024-05-29 14:22:31,-49.0,6.0,9.191,0.555,5.01,8.256,-7.73
AL1-20240529-1344,2024-05-29 14:22:36,-44.0,4.0,7.549,0.386,8.961,6.984,-7.73
AL1-20240529-1344,2024-05-29 14:22:40,-40.0,4.0,7.618,0.441,7.177,6.991,-7.73
AL1-20240529-1344,2024-05-29 14:22:44,-36.0,4.0,7.726,0.433,7.688,7.102,-7.73
AL1-20240529-1344,2024-05-29 14:22:48,-32.0,4.0,7.075,0.371,8.082,6.575,-7.73
AL1-20240529-1344,2024-05-29 14:22:52,-28.0,4.0,7.824,0.427,8.078,7.213,-7.73
