id,status,clock_offset_spread_s,quiet_event_rate,quiet_occupancy,quiet_burst_spacing_s,quiet_burst_length_s,quiet_events_per_burst,quiet_occupancy_if_poisson,longest_continuous_s,goes_class,czt_peak_utc,continuous_utc,continuous_rate,continuous_empty_ticks,50ms_monitor_cov,50ms_hxr_cov_raw,50ms_hxr_cov_corrected,50ms_noise_sd,50ms_hxr_counts_per_bin,100ms_monitor_cov,100ms_hxr_cov_raw,100ms_hxr_cov_corrected,100ms_noise_sd,100ms_hxr_counts_per_bin,200ms_monitor_cov,200ms_hxr_cov_raw,200ms_hxr_cov_corrected,200ms_noise_sd,200ms_hxr_counts_per_bin,500ms_monitor_cov,500ms_hxr_cov_raw,500ms_hxr_cov_corrected,500ms_noise_sd,500ms_hxr_counts_per_bin,lag_ms,lag_peak_cc,hi_counts,lag_err_ms
AL1-20240414-0226,no continuous stretch,0.158,5.9,0.0118,8.0,0.3,3.0,0.0577,16,M4.2,2024-04-14 02:31:20,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1-20240529-1344,ok,0.203,90.3,0.0544,5.75,0.4,530.0,0.5946,40,X1.4,2024-05-29 14:23:20,"[""14:24:48"", ""14:25:28""]",5487.0,0.0055,"[0.01549, 0.00693, 0.02669]","[null, null, null]","[null, null, null]",,0.5,"[0.01095, 0.0036, 0.02056]","[null, null, null]","[null, null, null]",,1.0,"[0.00506, 0.00134, 0.00993]","[null, null, null]","[null, null, null]",,2.1,"[0.00311, 0.0007, 0.0062]","[null, null, null]","[null, null, null]",,5.2,-0.9,0.083,284,
AL1-20240529-1837,no continuous stretch,0.064,579.4,0.2649,2.3,0.4,714.0,0.997,3,M5.6,2024-05-29 18:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1-20240531-2152,ok,0.321,4.2,0.015,8.0,0.4,8.0,0.0415,154,X1.1,2024-05-31 22:01:20,"[""22:00:39"", ""22:03:13""]",11516.0,0.0235,"[0.03684, 0.02689, 0.04269]","[null, null, null]","[null, null, null]",,7.0,"[0.02335, 0.01652, 0.0274]","[null, null, null]","[null, null, null]",,13.9,"[0.01322, 0.0091, 0.01546]","[null, null, null]","[null, null, null]",,27.8,"[0.00297, 0.00204, 0.00351]","[null, null, null]","[null, null, null]",,69.5,-0.7,0.195,5502,1.0
AL1-20240601-0840,ok,0.37,46.7,0.0415,8.0,0.4,370.0,0.3733,143,X1.3,2024-06-01 08:45:20,"[""08:45:27"", ""08:47:50""]",9879.0,0.0284,"[0.04795, 0.03705, 0.05848]","[null, null, null]","[null, null, null]",,2.5,"[0.03019, 0.02364, 0.03694]","[null, null, null]","[null, null, null]",,5.0,"[0.01656, 0.01326, 0.02003]","[null, null, null]","[null, null, null]",,10.0,"[0.0053, 0.00426, 0.0061]","[null, null, null]","[null, null, null]",,25.0,1.1,0.233,2360,
AL1-20240601-1830,no continuous stretch,0.039,27.9,0.0391,8.0,0.4,217.0,0.2438,7,X1.0,2024-06-01 18:32:40,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1-20240603-1147,no continuous stretch,0.194,25.7,0.0385,8.0,0.4,235.0,0.2268,11,M3.2,2024-06-03 11:52:20,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1-20240603-2205,no continuous stretch,0.476,15.2,0.0331,8.0,0.4,52.0,0.1412,0,C8.0,2024-06-03 22:07:40,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1-20240606-1451,no continuous stretch,0.074,55.4,0.0437,7.7,0.4,414.0,0.4252,9,M6.0,2024-06-06 15:00:40,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1-20240608-0046,no continuous stretch,0.026,113.8,0.0672,5.1,0.4,545.0,0.6796,0,M3.3,2024-06-08 00:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
