id,class_solexs,goes_class,peak_utc,test_period,status,bins,T_peak_MK,T_peak_err_MK,T_max_MK,T_max_before_peak_s,fe_ew_peak_keV,peak_rate_cps,goes_ratio_peak,T_peak_slope1_MK,T_peak_slope1.6_MK,within_flare_spearman_T_goes_ratio,T_cdte_peak_MK,T_cdte_peak_err_MK,T_solexs_same_minute_MK
AL1-20240202-0253,M1.3,M1.1,2024-02-02 03:01:00,0,ok,14,17.84,0.97,21.68,70.0,2.091,1127.5,0.14684,17.87,20.81,,,,
AL1-20240202-1048,C6.7,C5.6,2024-02-02 10:57:00,0,ok,7,16.71,1.82,19.91,30.0,1.982,587.0,0.10731,15.22,17.4,,,,
AL1-20240202-1111,C8.0,C6.4,2024-02-02 11:35:00,0,ok,49,17.36,1.63,21.42,610.0,0.984,747.3,0.12349,16.15,18.57,0.828,,,
AL1-20240203-0136,C5.7,,2024-02-03 02:04:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240203-0534,C8.5,C7.6,2024-02-03 05:53:00,0,ok,51,10.71,1.12,21.99,690.0,1.302,828.6,0.09781,9.75,10.75,0.809,,,
AL1-20240203-1036,C7.3,C5.8,2024-02-03 10:47:00,0,ok,26,14.88,1.46,20.97,370.0,0.79,664.9,0.1231,11.81,13.21,0.017,,,
AL1-20240203-1243,C5.7,C4.3,2024-02-03 12:48:00,0,ok,7,15.4,1.59,19.95,-70.0,2.794,522.5,0.14411,16.61,19.17,,,,
AL1-20240203-2104,C7.5,C6.3,2024-02-03 21:40:00,0,ok,49,9.87,1.1,20.77,1550.0,1.469,732.5,0.09564,9.98,11.02,0.605,,,
AL1-20240204-0722,C5.4,C4.8,2024-02-04 07:33:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240204-1142,M1.6,M1.4,2024-02-04 11:52:00,0,ok,54,16.62,0.74,25.16,270.0,1.742,1485.5,0.17908,15.52,17.79,0.975,,,
AL1-20240204-1339,C9.4,C8.3,2024-02-04 13:46:00,0,ok,15,18.28,1.47,21.98,70.0,1.038,928.8,0.11173,15.24,17.42,,,,
AL1-20240204-1504,C5.2,C4.3,2024-02-04 15:16:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240204-1552,C7.0,C6.0,2024-02-04 15:57:00,0,ok,3,15.51,1.76,17.27,70.0,1.402,719.1,0.0932,16.95,19.57,,,,
AL1-20240204-1622,M1.7,M1.5,2024-02-04 16:38:00,0,ok,51,17.27,0.89,20.45,70.0,1.819,1612.3,0.15548,16.58,19.12,0.681,,,
AL1-20240204-1704,M1.5,M1.3,2024-02-04 17:12:00,0,ok,28,18.63,0.91,22.27,90.0,1.848,1386.2,0.16119,17.07,19.76,0.933,,,
AL1-20240204-1816,M1.2,M1.1,2024-02-04 18:28:00,0,ok,44,15.16,0.92,23.37,190.0,2.326,1141.1,0.14815,15.52,17.79,0.939,,,
AL1-20240204-2008,C5.0,C4.4,2024-02-04 20:19:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240204-2052,M1.3,M1.2,2024-02-04 20:57:00,0,ok,14,18.41,1.0,18.77,-10.0,2.45,1276.2,0.15046,17.13,19.84,,,,
AL1-20240204-2221,M2.8,M2.7,2024-02-04 22:37:00,0,ok,78,19.81,0.66,20.9,650.0,1.979,2815.6,0.157,17.51,20.35,0.761,,,
AL1-20240205-0323,C9.5,C8.7,2024-02-05 03:29:00,0,ok,14,18.39,1.48,19.1,90.0,1.587,926.6,0.12273,15.16,17.33,,,,
AL1-20240205-0413,M2.4,M2.1,2024-02-05 04:28:00,0,ok,45,19.38,0.64,23.71,150.0,1.474,2180.6,0.19609,17.26,20.02,0.643,,,
AL1-20240205-0609,M1.5,M1.4,2024-02-05 06:22:00,0,ok,13,20.3,0.96,20.53,30.0,2.392,1496.7,0.16772,18.24,21.31,,,,
AL1-20240205-0728,C5.4,C4.6,2024-02-05 07:44:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240205-0749,C8.4,C6.8,2024-02-05 08:03:00,0,ok,22,14.44,1.58,21.79,150.0,1.328,813.3,0.13544,11.36,12.65,0.429,,,
AL1-20240205-1053,C7.2,,2024-02-05 11:00:00,0,ok,11,14.27,1.51,18.63,50.0,1.585,742.9,0.10263,13.2,14.89,,,,
AL1-20240205-1102,M1.1,C9.5,2024-02-05 11:08:00,0,ok,14,16.32,1.46,25.06,110.0,1.466,1037.1,0.14275,15.37,17.55,,,,
AL1-20240205-1258,C7.4,C6.2,2024-02-05 13:18:00,0,ok,25,13.53,1.36,17.3,230.0,1.254,736.5,0.10348,11.87,13.27,0.619,,,
AL1-20240205-2302,C6.4,C6.0,2024-02-05 23:16:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240206-0142,C8.5,,2024-02-06 02:08:00,0,ok,32,13.08,1.64,17.23,-150.0,2.625,862.7,0.09189,8.76,9.59,0.3,,,
AL1-20240206-0213,M2.3,M2.2,2024-02-06 02:28:00,0,ok,56,18.03,0.76,22.2,490.0,1.674,2264.4,0.16279,16.52,19.04,0.11,,,
AL1-20240206-0237,M4.6,M4.2,2024-02-06 03:11:00,0,ok,145,18.21,0.6,27.54,1710.0,0.823,4407.0,0.18667,16.33,18.79,0.211,,,
AL1-20240206-1137,C5.1,C4.4,2024-02-06 11:45:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240206-1248,M1.0,C9.3,2024-02-06 12:57:00,0,ok,32,15.58,1.15,23.04,330.0,2.512,1051.0,0.12054,15.37,17.59,0.818,,,
AL1-20240206-1600,C5.7,C5.1,2024-02-06 16:14:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240206-1819,C7.4,C6.2,2024-02-06 18:34:00,0,ok,26,16.8,1.87,22.43,370.0,1.067,691.5,0.11959,15.73,18.03,0.833,,,
AL1-20240206-1838,M1.5,M1.3,2024-02-06 18:48:00,0,ok,64,18.46,1.23,22.6,250.0,1.454,1424.5,0.16362,16.39,18.88,0.599,,,
AL1-20240207-0218,C8.9,C8.1,2024-02-07 02:31:00,0,ok,26,15.79,1.28,24.51,310.0,2.079,893.8,0.11507,16.82,19.44,0.571,,,
AL1-20240207-0305,M5.5,M5.1,2024-02-07 03:31:00,0,ok,122,17.75,0.37,22.74,1210.0,1.196,5141.6,0.21641,16.48,19.01,0.827,,,
AL1-20240207-1317,C5.8,C4.9,2024-02-07 13:41:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240207-1740,M1.5,M1.3,2024-02-07 18:04:00,0,ok,96,15.84,0.83,24.51,670.0,1.872,1427.6,0.15616,15.17,17.34,0.874,,,
AL1-20240208-0839,C5.1,C4.3,2024-02-08 08:48:00,0,no fittable bins,,,,,,,,,,,,,,
AL1-20240208-1125,M1.0,,2024-02-08 11:46:00,0,ok,6,12.92,1.15,16.38,30.0,2.139,1094.2,0.08919,13.46,15.2,,,,
AL1-20240208-1239,M1.1,,2024-02-08 12:51:00,0,ok,14,14.14,1.23,22.58,210.0,2.311,1051.5,0.11932,13.36,15.07,,,,
AL1-20240208-1252,M3.6,M3.4,2024-02-08 13:11:00,0,ok,99,15.41,0.51,21.51,610.0,1.552,3509.8,0.1777,14.41,16.39,0.895,,,
AL1-20240208-1414,M1.2,M1.1,2024-02-08 14:18:00,0,ok,18,18.13,1.46,18.13,10.0,2.027,1295.6,0.10123,16.09,18.48,0.029,,,
AL1-20240208-1518,M2.0,M1.7,2024-02-08 15:22:00,0,ok,11,23.38,1.32,25.67,-10.0,1.996,1069.3,0.21849,23.28,28.25,,,,
AL1-20240208-1613,C7.5,C6.0,2024-02-08 16:21:00,0,ok,15,15.22,1.5,15.9,150.0,0.54,779.4,0.10009,12.97,14.62,,,,
AL1-20240208-1657,C8.7,C6.9,2024-02-08 17:06:00,0,ok,10,19.78,1.43,21.56,30.0,1.914,733.4,0.1664,18.37,21.47,,,,
AL1-20240208-1856,M1.5,M1.3,2024-02-08 19:02:00,0,ok,10,22.05,0.9,24.61,70.0,2.294,1361.8,0.17337,19.65,23.2,,,,
AL1-20240208-2316,M4.2,M3.9,2024-02-08 23:55:00,0,ok,94,15.65,0.4,24.52,1590.0,1.116,4039.6,0.1939,14.29,16.24,0.714,,,
AL1-20240209-0212,C7.3,C6.5,2024-02-09 02:23:00,0,no fittable bins,,,,,,,,,,,,,,
