id,t_utc,t_rel_peak_s,rate_cps,T_MK,T_err_MK,log_amp,fe_ew_keV
AL1-20240202-0253,2024-02-02 02:59:00,-110.0,480.6,20.33,2.07,6.889,2.124
AL1-20240202-0253,2024-02-02 02:59:20,-90.0,606.0,19.05,1.58,7.503,2.662
AL1-20240202-0253,2024-02-02 02:59:40,-70.0,726.1,21.68,1.47,7.514,2.233
AL1-20240202-0253,2024-02-02 03:00:00,-50.0,843.2,18.21,1.17,8.153,2.241
AL1-20240202-0253,2024-02-02 03:00:20,-30.0,969.2,15.46,0.92,8.92,2.965
AL1-20240202-0253,2024-02-02 03:00:40,-10.0,1127.5,17.84,0.97,8.573,2.091
AL1-20240202-0253,2024-02-02 03:01:00,10.0,1246.5,18.99,1.0,8.427,2.194
AL1-20240202-0253,2024-02-02 03:01:20,30.0,1252.0,17.37,0.97,8.616,2.203
AL1-20240202-0253,2024-02-02 03:01:40,50.0,1246.5,16.55,0.96,8.707,1.953
AL1-20240202-0253,2024-02-02 03:02:00,70.0,1194.6,16.4,1.05,8.553,1.898
AL1-20240202-0253,2024-02-02 03:02:20,90.0,1110.6,14.63,1.08,8.719,1.831
AL1-20240202-0253,2024-02-02 03:02:40,110.0,1019.4,10.78,0.9,9.881,2.656
AL1-20240202-0253,2024-02-02 03:03:00,130.0,920.4,12.18,1.23,8.918,1.69
AL1-20240202-0253,2024-02-02 03:03:20,150.0,823.3,11.8,1.2,9.048,0.971
AL1-20240202-1048,2024-02-02 10:56:20,-30.0,542.5,19.91,2.22,6.773,1.14
AL1-20240202-1048,2024-02-02 10:56:40,-10.0,587.0,16.71,1.82,7.416,1.982
AL1-20240202-1048,2024-02-02 10:57:00,10.0,644.0,15.93,1.59,7.77,1.914
AL1-20240202-1048,2024-02-02 10:57:20,30.0,669.0,15.77,1.58,7.807,1.856
AL1-20240202-1048,2024-02-02 10:57:40,50.0,688.0,17.26,1.76,7.426,1.644
AL1-20240202-1048,2024-02-02 10:58:00,70.0,664.7,16.29,1.74,7.56,1.368
AL1-20240202-1048,2024-02-02 10:58:20,90.0,647.8,12.56,1.45,8.517,2.159
AL1-20240202-1111,2024-02-02 11:23:00,-710.0,473.9,17.75,2.04,7.154,0.924
AL1-20240202-1111,2024-02-02 11:24:40,-610.0,525.5,21.42,2.39,6.589,1.008
AL1-20240202-1111,2024-02-02 11:25:00,-590.0,542.9,19.86,2.23,6.806,1.494
